"Id","SalePrice"
1461,95983968
1462,110312584
1463,113635256
1464,88306128
1465,54371764
1466,88624712
1467,73272360
1468,77344896
1469,88497464
1470,74775392
1471,60292144
1472,31144342
1473,31693230
1474,37043260
1475,34452088
1476,110449328
1477,107240368
1478,98966712
1479,116632992
1480,121577664
1481,115150512
1482,68698736
1483,142964688
1484,41930888
1485,109049824
1486,79656888
1487,141025104
1488,81886704
1489,81787248
1490,90977056
1491,101281968
1492,84336328
1493,123574504
1494,112362224
1495,98639704
1496,54175656
1497,46230524
1498,42032520
1499,37813416
1500,37987268
1501,42069192
1502,36350412
1503,106709104
1504,72345608
1505,74993808
1506,92390744
1507,97404520
1508,147487536
1509,85654808
1510,84139632
1511,85942776
1512,86077616
1513,92992080
1514,110296176
1515,90339400
1516,136302656
1517,94865392
1518,76951792
1519,76143704
1520,73642512
1521,91406744
1522,88474448
1523,76450520
1524,92251072
1525,91291696
1526,109155232
1527,72024464
1528,73800232
1529,71041432
1530,86190968
1531,55108628
1532,49378528
1533,59810568
1534,66343568
1535,100640960
1536,75246088
1537,82815312
1538,85396112
1539,84794488
1540,84582600
1541,91527320
1542,61227660
1543,75700944
1544,51879828
1545,60055576
1546,60395668
1547,63841508
1548,61339216
1549,61457544
1550,63221404
1551,60569028
1552,77171552
1553,107133328
1554,41463788
1555,123276984
1556,90721632
1557,86562152
1558,59046988
1559,65953640
1560,62676052
1561,94319632
1562,70946104
1563,71028192
1564,70494264
1565,95704576
1566,153948224
1567,79744376
1568,136424416
1569,144423616
1570,95896240
1571,83700776
1572,83324208
1573,137254432
1574,94861832
1575,100924136
1576,104833688
1577,69592232
1578,115400712
1579,92910936
1580,84457024
1581,120324904
1582,68672528
1583,92890616
1584,86434416
1585,48749660
1586,75966360
1587,78074368
1588,86796712
1589,98110176
1590,61947900
1591,61853336
1592,53303144
1593,71252536
1594,73959760
1595,87526264
1596,93535480
1597,127380640
1598,151779168
1599,46138968
1600,46800160
1601,71689424
1602,80586888
1603,76848272
1604,48350384
1605,96726728
1606,84568064
1607,108273832
1608,99854568
1609,85598536
1610,86403240
1611,121676136
1612,88508456
1613,99757848
1614,35828144
1615,30216672
1616,32994514
1617,32962004
1618,65127068
1619,103998792
1620,76636032
1621,90025712
1622,91410432
1623,88641104
1624,108701040
1625,104944304
1626,89063752
1627,89618264
1628,103080776
1629,77851016
1630,74907672
1631,70814416
1632,76096256
1633,80359688
1634,72176536
1635,80199768
1636,68727768
1637,102461320
1638,111633256
1639,94802272
1640,108618560
1641,96078864
1642,70055072
1643,73266464
1644,79336136
1645,84581208
1646,87170744
1647,93549736
1648,72352984
1649,76289016
1650,65915408
1651,78550448
1652,31208864
1653,31156826
1654,37636388
1655,35441048
1656,37517224
1657,38030236
1658,37617168
1659,33296140
1660,90613944
1661,121485648
1662,108617760
1663,105795048
1664,117570016
1665,99509232
1666,134381968
1667,179613552
1668,91446496
1669,94000520
1670,112497720
1671,108143600
1672,126927736
1673,113265848
1674,86360632
1675,67175448
1676,55270092
1677,89542976
1678,124322392
1679,125659560
1680,72719400
1681,64803124
1682,133397824
1683,44952376
1684,93915616
1685,80821424
1686,42139800
1687,83678296
1688,75361504
1689,89182264
1690,81182096
1691,75348384
1692,109070776
1693,85609944
1694,77784744
1695,72897920
1696,130133944
1697,73541296
1698,110970944
1699,95561216
1700,84468064
1701,102326952
1702,96774464
1703,90192592
1704,89882312
1705,82157520
1706,100070328
1707,74716944
1708,78784288
1709,105371456
1710,71563088
1711,93324032
1712,77381760
1713,93002800
1714,80109304
1715,76378648
1716,84307776
1717,70183664
1718,70121848
1719,93415416
1720,89266592
1721,106582056
1722,106401224
1723,102512080
1724,70483440
1725,100464024
1726,73995952
1727,68823392
1728,82297600
1729,89276464
1730,78037480
1731,84090648
1732,75396912
1733,79184344
1734,81426304
1735,70755280
1736,66694076
1737,127572720
1738,101914064
1739,47832168
1740,48730604
1741,49215568
1742,42171920
1743,46930792
1744,119632288
1745,124512960
1746,89626912
1747,108155464
1748,95372960
1749,84396096
1750,80226696
1751,116111656
1752,66430484
1753,85624144
1754,87835768
1755,129834600
1756,68527912
1757,72917640
1758,83887576
1759,111999984
1760,82918208
1761,90453976
1762,83771864
1763,97861352
1764,84047968
1765,88144128
1766,91629744
1767,119080128
1768,78245416
1769,102297648
1770,80676160
1771,78336296
1772,79162240
1773,89277936
1774,86142184
1775,73706416
1776,106325376
1777,74831344
1778,70314816
1779,83357320
1780,97054800
1781,83852504
1782,55094072
1783,92346992
1784,73634128
1785,87622336
1786,94366576
1787,70415224
1788,53547168
1789,90382368
1790,89733960
1791,90129872
1792,88342656
1793,96018712
1794,72427592
1795,89196192
1796,79919008
1797,73792760
1798,68448496
1799,66169668
1800,73194952
1801,92805264
1802,75280624
1803,73246440
1804,76380840
1805,72541328
1806,48500080
1807,91561624
1808,124077064
1809,86964784
1810,64489492
1811,72991904
1812,88458920
1813,60867636
1814,67972192
1815,57333740
1816,75049688
1817,85302176
1818,79414904
1819,44837684
1820,40955868
1821,57387064
1822,86027360
1823,80678744
1824,65075864
1825,55444040
1826,59986004
1827,60210800
1828,62731544
1829,77361032
1830,76358016
1831,89030664
1832,44511968
1833,69139952
1834,59650260
1835,61962760
1836,56649896
1837,53500336
1838,89291928
1839,46825088
1840,91905112
1841,89944280
1842,84529424
1843,96847632
1844,72918488
1845,124415072
1846,121247032
1847,126950704
1848,77531712
1849,124395112
1850,83162456
1851,84131400
1852,69505392
1853,48213828
1854,91280576
1855,147809744
1856,93329128
1857,197476448
1858,71447584
1859,68556224
1860,67486936
1861,68386392
1862,105653656
1863,79980752
1864,80223336
1865,95079888
1866,94436632
1867,82551704
1868,98930832
1869,65962388
1870,89137264
1871,98847736
1872,98411912
1873,133007360
1874,84276368
1875,119001984
1876,80982544
1877,92710568
1878,95738712
1879,126413240
1880,65470980
1881,99425048
1882,106201696
1883,80720512
1884,97722640
1885,125840224
1886,107802992
1887,79569048
1888,89958792
1889,94524008
1890,90929368
1891,44681408
1892,61761008
1893,98515184
1894,94698688
1895,99906304
1896,75211992
1897,62582976
1898,58409500
1899,77283152
1900,67887592
1901,112410560
1902,117641600
1903,79807960
1904,80401136
1905,110162024
1906,124784232
1907,138857792
1908,31706644
1909,30864264
1910,31722142
1911,113066760
1912,141622032
1913,82127856
1914,85088808
1915,48571452
1916,162022016
1917,91309776
1918,83919752
1919,82800512
1920,95591408
1921,113067496
1922,118018280
1923,89000496
1924,116993616
1925,84671384
1926,107559536
1927,102388872
1928,109940656
1929,69868152
1930,70931496
1931,70187360
1932,89900040
1933,91555216
1934,79992648
1935,75631552
1936,85331464
1937,121590416
1938,114686376
1939,64508420
1940,54768860
1941,96330200
1942,115519296
1943,60793088
1944,115448408
1945,125172096
1946,226634544
1947,76872544
1948,332384608
1949,106515704
1950,92354872
1951,146632368
1952,118473472
1953,106889448
1954,92957864
1955,85418504
1956,109650584
1957,90288064
1958,119919112
1959,82490264
1960,87403368
1961,69212200
1962,31160256
1963,32579524
1964,32494086
1965,37236144
1966,37049596
1967,106259824
1968,116552544
1969,119062672
1970,115871856
1971,110340520
1972,105829440
1973,83246952
1974,95376128
1975,110337920
1976,93995704
1977,138232992
1978,135403200
1979,90481496
1980,102604920
1981,77920096
1982,62805180
1983,62776940
1984,39022204
1985,48222800
1986,48780744
1987,45813792
1988,81677504
1989,75881336
1990,79569568
1991,69875408
1992,78032472
1993,72883232
1994,107619232
1995,78074016
1996,88926992
1997,97473160
1998,101352552
1999,97191920
2000,104927920
2001,90481288
2002,109833016
2003,88301352
2004,85930248
2005,88169408
2006,78676000
2007,92942904
2008,70684440
2009,89550104
2010,106888936
2011,106801272
2012,81756168
2013,78321800
2014,78860824
2015,117773488
2016,78616504
2017,77762808
2018,79683920
2019,72754888
2020,75134352
2021,61068668
2022,150016176
2023,93494192
2024,87969920
2025,100346872
2026,43929060
2027,41999204
2028,42882156
2029,37593872
2030,54402760
2031,51500024
2032,50930528
2033,49757652
2034,36174936
2035,93545912
2036,40192636
2037,40135668
2038,52270424
2039,93919888
2040,189698112
2041,129768296
2042,73021464
2043,94839520
2044,95865120
2045,123656312
2046,86646712
2047,79929024
2048,73267680
2049,96018328
2050,110577944
2051,71164712
2052,85635672
2053,95043832
2054,51806272
2055,85241960
2056,84632864
2057,70069232
2058,120687608
2059,79075256
2060,86718232
2061,109282104
2062,88965448
2063,95389256
2064,82343696
2065,103663368
2066,116492248
2067,81457232
2068,105259672
2069,85856096
2070,69851272
2071,54291848
2072,93080552
2073,86978688
2074,93698072
2075,105243416
2076,66954696
2077,73808504
2078,72824160
2079,74427456
2080,61785216
2081,68488280
2082,79220288
2083,69796152
2084,66561660
2085,70497168
2086,85430152
2087,81752264
2088,53057060
2089,50168020
2090,61294548
2091,97532160
2092,73056872
2093,71100648
2094,55696568
2095,92819208
2096,64043900
2097,59256676
2098,81311016
2099,65492292
2100,102719040
2101,82699088
2102,57122836
2103,80185688
2104,88813880
2105,61755200
2106,94696816
2107,97336856
2108,84093872
2109,76416664
2110,67573440
2111,71895256
2112,69385408
2113,53914868
2114,59839400
2115,62349372
2116,59285220
2117,61856632
2118,60960300
2119,52921028
2120,57158336
2121,58507832
2122,61824148
2123,59527556
2124,65366496
2125,64124692
2126,83206720
2127,76874000
2128,51093440
2129,60376600
2130,89644176
2131,69423480
2132,89167944
2133,67708288
2134,67245976
2135,86890784
2136,89163200
2137,82592008
2138,94316224
2139,105989248
2140,87265384
2141,70792872
2142,85966120
2143,69273208
2144,105319976
2145,80575264
2146,113915000
2147,92581448
2148,76680288
2149,86643104
2150,155405936
2151,54461860
2152,150386800
2153,85247648
2154,80762912
2155,82494840
2156,92242512
2157,88356472
2158,118327312
2159,93823832
2160,91446056
2161,84319912
2162,103322032
2163,100974784
2164,97667168
2165,98501192
2166,84239680
2167,79167888
2168,109710392
2169,82014648
2170,101989224
2171,101329552
2172,81077536
2173,116690480
2174,93508648
2175,88096144
2176,121193096
2177,97444288
2178,100193104
2179,48698824
2180,90385376
2181,86160392
2182,95298936
2183,84976032
2184,85087552
2185,99747512
2186,63645172
2187,83878240
2188,69033848
2189,340475040
2190,60313828
2191,65468232
2192,64536508
2193,100118416
2194,73327208
2195,81111368
2196,71394576
2197,54905372
2198,69755832
2199,75229368
2200,80712768
2201,123319328
2202,72206824
2203,86012768
2204,100947160
2205,82356040
2206,71745936
2207,87260744
2208,106495384
2209,195030592
2210,32639424
2211,65727876
2212,59787016
2213,74329568
2214,62385736
2215,68153792
2216,83237136
2217,114662048
2218,56028372
2219,53871724
2220,78353424
2221,48577404
2222,48377516
2223,180428096
2224,96252984
2225,91151288
2226,88913400
2227,49231876
2228,98499592
2229,107892048
2230,86376200
2231,101681264
2232,107038784
2233,141214960
2234,95717560
2235,75112280
2236,98581576
2237,99658384
2238,80542656
2239,81507872
2240,50718584
2241,113680168
2242,48186720
2243,39738108
2244,33037936
2245,30421262
2246,138499760
2247,30240108
2248,61930840
2249,62929472
2250,101083192
2251,394613248
2252,92832864
2253,80034168
2254,89738992
2255,80019688
2256,74255848
2257,74981728
2258,83781664
2259,73215416
2260,140096240
2261,52206148
2262,55311820
2263,107746144
2264,367021440
2265,294791232
2266,75709256
2267,118166200
2268,116088168
2269,93387416
2270,101550112
2271,103840512
2272,97924680
2273,98730336
2274,90047448
2275,106471128
2276,80574696
2277,76445256
2278,84041408
2279,71827184
2280,132438544
2281,48784120
2282,93591888
2283,35047124
2284,34649088
2285,35568276
2286,67164304
2287,105703736
2288,101039920
2289,119244128
2290,117055920
2291,115127608
2292,126169488
2293,118253840
2294,117349496
2295,138715520
2296,134570048
2297,88686536
2298,113124704
2299,114383112
2300,119859592
2301,106263160
2302,88112560
2303,84174192
2304,94249848
2305,47283376
2306,47269072
2307,63168680
2308,52844320
2309,74312040
2310,62730392
2311,43461152
2312,126120200
2313,89708512
2314,108841664
2315,80535016
2316,87305536
2317,101032752
2318,76401400
2319,72863072
2320,71989288
2321,46674580
2322,45901256
2323,127112672
2324,94550456
2325,94347696
2326,100280584
2327,75981960
2328,81837752
2329,85460824
2330,86323632
2331,106970880
2332,98464408
2333,99277032
2334,97000744
2335,102632632
2336,86279192
2337,86970192
2338,100407104
2339,92279696
2340,105364648
2341,88065648
2342,80697200
2343,76693568
2344,87489144
2345,81439656
2346,78529824
2347,80888888
2348,80369688
2349,91094304
2350,104301128
2351,91461600
2352,100902136
2353,96219400
2354,69919992
2355,70044680
2356,102453768
2357,71336776
2358,99919128
2359,73939096
2360,61034892
2361,69500040
2362,154780880
2363,90831144
2364,103856208
2365,50724188
2366,44169024
2367,47677880
2368,45636704
2369,57740156
2370,37428204
2371,36623948
2372,70011344
2373,77539864
2374,81339712
2375,84628112
2376,104953304
2377,143437504
2378,97576624
2379,78688376
2380,77826336
2381,98288536
2382,97461336
2383,85539744
2384,93976816
2385,90924240
2386,91319352
2387,73403376
2388,92529816
2389,69403480
2390,115125544
2391,74245400
2392,76711304
2393,78933728
2394,80649112
2395,82847296
2396,96508048
2397,167325040
2398,99683320
2399,51541752
2400,40819764
2401,53645924
2402,83926976
2403,79423512
2404,87364112
2405,84248328
2406,77312528
2407,65300308
2408,74640424
2409,80531856
2410,87290152
2411,83755320
2412,101893064
2413,86943232
2414,96689680
2415,75575600
2416,91742968
2417,72383384
2418,75796144
2419,69499632
2420,74826160
2421,85647640
2422,123151480
2423,115490008
2424,102519432
2425,168928336
2426,88941584
2427,93045000
2428,89137592
2429,76813640
2430,74449264
2431,68448056
2432,69577936
2433,68997208
2434,73119752
2435,74440056
2436,65718816
2437,62915780
2438,64245348
2439,65847588
2440,60853580
2441,49631980
2442,40634612
2443,67722496
2444,80225184
2445,59500848
2446,86658520
2447,91349024
2448,87464600
2449,50978908
2450,78164960
2451,45502496
2452,114867480
2453,76562952
2454,99261360
2455,65506244
2456,79074704
2457,61400268
2458,60176260
2459,59875384
2460,62897444
2461,62380900
2462,62864892
2463,61380024
2464,76353632
2465,79958576
2466,77597536
2467,59055036
2468,58054900
2469,58279636
2470,112353344
2471,88383552
2472,93136464
2473,49884520
2474,89736840
2475,109910400
2476,50625940
2477,93812112
2478,96016192
2479,113996688
2480,113053768
2481,96943856
2482,74985152
2483,76546672
2484,75069544
2485,73408616
2486,114813016
2487,137158208
2488,67064112
2489,96042504
2490,111232248
2491,79082984
2492,95353720
2493,136763888
2494,171835952
2495,137924384
2496,109520424
2497,91772680
2498,54953380
2499,95376824
2500,45879600
2501,82486392
2502,94903568
2503,71144248
2504,180890256
2505,85522696
2506,83424256
2507,94108216
2508,90356936
2509,99730224
2510,80000224
2511,69016832
2512,84723808
2513,82425520
2514,155138336
2515,113591856
2516,87249288
2517,75526736
2518,129334512
2519,94898520
2520,104533352
2521,85790512
2522,81808248
2523,97146944
2524,77096976
2525,84004120
2526,79285880
2527,126611096
2528,83150056
2529,66822448
2530,66895080
2531,97752840
2532,81673736
2533,76906704
2534,101203760
2535,109945160
2536,124837048
2537,134808384
2538,75766568
2539,78631392
2540,76480840
2541,77044640
2542,81819736
2543,84273928
2544,75405848
2545,128516240
2546,75225120
2547,61621332
2548,87987384
2549,68073240
2550,289528832
2551,44690888
2552,61960160
2553,66154188
2554,78184592
2555,85206848
2556,72831832
2557,73343144
2558,97573424
2559,69430344
2560,66545512
2561,46645884
2562,66161040
2563,68878680
2564,70528736
2565,107196016
2566,74601968
2567,62518652
2568,189722656
2569,163937888
2570,32106946
2571,140413008
2572,46053396
2573,158859680
2574,146024928
2575,66976912
2576,70511808
2577,83180280
2578,43391344
2579,92066744
2580,78473808
2581,63687016
2582,59856408
2583,59863404
2584,101198704
2585,87701872
2586,106599032
2587,87553496
2588,77225504
2589,75527008
2590,49070072
2591,156652176
2592,78237176
2593,78108368
2594,89036400
2595,65715256
2596,98528224
2597,73490680
2598,103994608
2599,106898840
2600,309895968
2601,64076592
2602,30488242
2603,30100520
2604,30266736
2605,32904680
2606,80219352
2607,126425912
2608,246153664
2609,76504536
2610,63120668
2611,204533824
2612,93187680
2613,95722624
2614,88296736
2615,93862832
2616,89457800
2617,100830816
2618,280310528
2619,100861992
2620,76550880
2621,108667824
2622,87755896
2623,110934000
2624,115756456
2625,113584664
2626,74113568
2627,45438300
2628,133132272
2629,149018464
2630,107211152
2631,132992008
2632,132422848
